,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
132,3,Sardinero_Valdecilla,31,15.766666666666667,18.83714289255083,1.9115632540081118,2.096270505312434
167,3,Valdecilla_Sardinero,31,13.75,21.381818181818183,,
133,3,Sardinero_Valdecilla,32,14.2,20.704225352112676,,
168,3,Valdecilla_Sardinero,32,17.070833333333333,17.37792832962822,1.8950899030760364,1.8761810176143077
134,3,Sardinero_Valdecilla,33,16.208333333333332,18.21294245855598,1.1538582620447317,1.388664461197667
169,3,Valdecilla_Sardinero,33,16.4,17.926829268292682,,
135,3,Sardinero_Valdecilla,34,15.416666666666666,19.07027027027027,,
170,3,Valdecilla_Sardinero,34,17.09166666666667,17.226955634103238,0.7607866299405467,0.7667508405178259
136,3,Sardinero_Valdecilla,35,14.870833333333334,19.897284087606668,1.3127138273792172,1.919300518422895
137,3,Sardinero_Valdecilla,36,13.366666666666667,21.99501246882793,,
138,3,Sardinero_Valdecilla,37,16.779166666666665,17.748694686696005,2.288917542970589,2.2237691198674687
171,3,Valdecilla_Sardinero,37,14.283333333333333,20.58343057176196,,
139,3,Sardinero_Valdecilla,38,13.083333333333334,22.471337579617835,,
172,3,Valdecilla_Sardinero,38,16.054166666666667,18.645532487369962,2.6702883392650345,2.6663953438894348
140,3,Sardinero_Valdecilla,39,13.995833333333334,21.138597919509394,1.304364113559071,1.898363570889939
173,101,Sardinero_Valdecilla,1,15.7625,18.770625139454623,1.3919992949125508,1.7943010952063965
175,101,Valdecilla_Sardinero,2,25.808333333333334,13.379625458227489,11.437434476638867,6.000104918495909
174,101,Sardinero_Valdecilla,3,16.825,17.50440025145851,0.8264717512144965,0.8254005179265369
176,102,Sardinero_Valdecilla,2,15.695833333333333,18.827739500693802,1.3475200129071128,1.5017448566491218
178,102,Valdecilla_Sardinero,3,15.161111111111111,19.87490211221377,2.959276062623225,3.733267098989702
177,102,Sardinero_Valdecilla,4,19.55,15.080706709632903,1.1994597549329054,0.9206040017874683
